ticker,status,row_count,anomaly_count,error,output_file
P05VRR180929,saved,47,11,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05VRR180929_2021-04-24_to_2026-04-24.csv
P05VRR211029,saved,73,18,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05VRR211029_2021-04-24_to_2026-04-24.csv
P05VRR240129,saved,67,30,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05VRR240129_2021-04-24_to_2026-04-24.csv
P05VRR280629,saved,64,32,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05VRR280629_2021-04-24_to_2026-04-24.csv
P05VRR300530,saved,5,1,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P05VRR300530_2021-04-24_to_2026-04-24.csv
P10FRR090135,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10FRR090135_2021-04-24_to_2026-04-24.csv
P10FRR180934,saved,7,5,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10FRR180934_2021-04-24_to_2026-04-24.csv
P10FRR211034,saved,6,3,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10FRR211034_2021-04-24_to_2026-04-24.csv
P10FRZ141135,saved,1,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10FRZ141135_2021-04-24_to_2026-04-24.csv
P10FRZ151035,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10FRZ151035_2021-04-24_to_2026-04-24.csv
P10FRZ220136,saved,2,2,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10FRZ220136_2021-04-24_to_2026-04-24.csv
P10FRZ240735,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10FRZ240735_2021-04-24_to_2026-04-24.csv
P10FRZ300535,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10FRZ300535_2021-04-24_to_2026-04-24.csv
P10PFA221030,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFA221030_2021-04-24_to_2026-04-24.csv
P10PFL031034,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL031034_2021-04-24_to_2026-04-24.csv
P10PFL041131,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL041131_2021-04-24_to_2026-04-24.csv
P10PFL050934,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL050934_2021-04-24_to_2026-04-24.csv
P10PFL070234,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL070234_2021-04-24_to_2026-04-24.csv
P10PFL090135,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL090135_2021-04-24_to_2026-04-24.csv
P10PFL090828,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL090828_2021-04-24_to_2026-04-24.csv
P10PFL100735,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL100735_2021-04-24_to_2026-04-24.csv
P10PFL121234,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL121234_2021-04-24_to_2026-04-24.csv
P10PFL141134,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL141134_2021-04-24_to_2026-04-24.csv
P10PFL141233,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL141233_2021-04-24_to_2026-04-24.csv
P10PFL170435,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL170435_2021-04-24_to_2026-04-24.csv
P10PFL180429,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL180429_2021-04-24_to_2026-04-24.csv
P10PFL180434,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL180434_2021-04-24_to_2026-04-24.csv
P10PFL180630,saved,1,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL180630_2021-04-24_to_2026-04-24.csv
P10PFL210229,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL210229_2021-04-24_to_2026-04-24.csv
P10PFL210329,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL210329_2021-04-24_to_2026-04-24.csv
P10PFL220829,saved,20,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL220829_2021-04-24_to_2026-04-24.csv
P10PFL250729,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL250729_2021-04-24_to_2026-04-24.csv
P10PFL270629,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL270629_2021-04-24_to_2026-04-24.csv
P10PFL280628,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL280628_2021-04-24_to_2026-04-24.csv
P10PFL290535,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL290535_2021-04-24_to_2026-04-24.csv
P10PFL300529,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL300529_2021-04-24_to_2026-04-24.csv
P10PFL310528,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PFL310528_2021-04-24_to_2026-04-24.csv
P10PIB101133,no_data,0,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PIB101133_2021-04-24_to_2026-04-24.csv
P10PIB101230,saved,22,2,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PIB101230_2021-04-24_to_2026-04-24.csv
P10PIB120728,saved,20,0,,/Users/hamidmehmood/Desktop/psx-paper-trading/daily_price_data/output/P10PIB120728_2021-04-24_to_2026-04-24.csv
